Date,Combined Economy Score,InvertandBearFinal
2012-05-14,58.5484618722593,0.0
2012-05-15,60.64730804464978,0.0
2012-05-16,60.944029532448226,0.0
2012-05-17,61.095375911916946,0.0
2012-05-18,61.113611160219214,0.0
2012-05-21,61.050881906059416,0.0
2012-05-22,60.939257460689134,0.0
2012-05-23,61.108480564934176,0.0
2012-05-24,61.027948763279284,0.0
2012-05-25,61.05766912729192,0.0
2012-05-28,61.06861027627328,0.0
2012-05-29,61.11660297722881,0.0
2012-05-30,61.355342556866155,0.0
2012-05-31,61.47238194376621,0.0
2012-06-01,61.58880936809611,0.0
2012-06-04,61.24994282167905,0.0
2012-06-05,61.231596307454936,0.0
2012-06-06,61.03759799127923,0.0
2012-06-07,61.043050021449595,0.0
2012-06-08,61.09606205176833,0.0
2012-06-11,65.29194941603936,0.0
2012-06-12,65.15648933763397,0.0
2012-06-13,65.35214427975714,0.0
2012-06-14,70.70498706224586,0.0
2012-06-15,70.83022303872177,0.0
2012-06-18,70.85943652464603,0.0
2012-06-19,70.73860173352307,0.0
2012-06-20,70.83966827919835,0.0
2012-06-21,70.99325233998415,0.0
2012-06-22,70.76451433043259,0.0
2012-06-25,71.04536188004792,0.0
2012-06-26,70.94561816255457,0.0
2012-06-27,71.0014118409194,0.0
2012-06-28,71.17886862338094,0.0
2012-06-29,70.82936999998763,0.0
2012-07-02,70.37319208330604,0.0
2012-07-03,70.15315754141874,0.0
2012-07-04,70.16045164073965,0.0
2012-07-05,70.31457966825447,0.0
2012-07-06,70.54143852001489,0.0
2012-07-09,70.67223779258302,0.0
2012-07-10,70.72756168150006,0.0
2012-07-11,80.83409262022592,0.0
2012-07-12,81.23036001943444,0.0
2012-07-13,81.18550749005097,0.0
2012-07-16,81.28611660915867,0.0
2012-07-17,82.92280123084835,0.0
2012-07-18,83.0004277556551,0.0
2012-07-19,82.87963005317275,0.0
2012-07-20,83.10099978612217,0.0
2012-07-23,83.22356538047381,0.0
2012-07-24,83.32507698983648,0.0
2012-07-25,83.32962652975189,0.0
2012-07-26,83.26556208452996,0.0
2012-07-27,82.74315621859056,0.0
2012-07-30,78.3098273771037,0.0
2012-07-31,78.36926810512898,0.0
2012-08-01,78.17072024903786,0.0
2012-08-02,78.43416086332465,0.0
2012-08-03,78.017253635614,0.0
2012-08-06,78.10778700735467,0.0
2012-08-07,77.85340838425809,0.0
2012-08-08,77.83047524147796,0.0
2012-08-09,77.60812884099234,0.0
2012-08-10,77.81209163861324,0.0
2012-08-13,80.47703409558731,0.0
